Title,Authors,Description,Category,Publisher,Publish Date,Price
The Forgotten Ways: Reactivating the Missional Church,"By Sweet, Leonard (FRW) and Hirsch, Alan","Alan Hirsch is convinced that the inherited formulas for growing the Body of Christ do not work anymore. And rather than relying on slightly revised solutions from the past, he sees a vision of the future growth of the church coming about by harnessing the power of the early church, which grew from as few as 25,000 adherents in AD 100 to up to 20 million in AD 310. Such incredible growth is also being experienced today in the church in China and other parts of the world. How do they do it?The Forgotten Ways explores the concept of Apostolic Genius as a way to understand what caused the church to expand at various times in history, interpreting it for use in our own time and place. From the theological underpinnings to the practical application, Hirsch takes the reader through this dynamic mixture of passion, prayer, and incarnational practice to rediscover the dormant potential of the modern church in the West."," Religion , Christian Church , Growth",Brazos Press,"Wednesday, April 1, 2009",Price Starting at $5.29
The Founders of The Western World,"By Grant, Michael",,,Scribner,"Tuesday, January 1, 1991",Price Starting at $4.99
"Nature's Prescription: Foods, Vitamins, and Supplements That Prevent Disease",By Frank W. Cawood and Associates (EDT),," Health & Fitness , Naturopathy",UNKNO,"Sunday, March 1, 1998",Price Starting at $5.29
Smilla's Sense of Snow,"By Hoeg, Peter and Nunnally, Tiina (TRN)","When six-year-old Isaiah falls to his death from the top of their apartment building, Smilla Jasperson ignores police warnings to stay out of the investigation and follows clues that lead her to a Danish mining company. Reprint.",,Island Books,"Monday, August 1, 1994",Price Starting at $4.99
Down to the Wire: UPI's Fight for Survival,"By Gordon, Gregory and Cohen, Ronald E.",," Business & Economics , General",McGraw Hill,"Friday, December 1, 1989",Price Starting at $5.82
Why Mosquitoes Buzz in People's Ears (Pied Piper Book),"By Aardema, Verna, Dillon, Leo, and Dillon, Diane",A mosquito's lie sets off a series of reactions in the jungle that results in the owl's refusal to wake the sun and the lion's decision to call a meeting of the animals," Juvenile Nonfiction , General",Puffin,"Sunday, January 1, 1978",Price Starting at $5.29
Japan Unbound: A Volatile Nation's Quest for Pride and Purpose,"By Nathan, John","Not since World War II has Japan faced a crisis like the one before it now. An apparently endless recession has weakened the foundations of the traditional family and severed the bond between Japan's corporations and employees. Unruly children turn classrooms into battlefields. Ultranationalist pride and xenophobia are celebrated in best-selling comic books and championed by media superstars, including the governor of Tokyo. Upheavals across the society have significant ramifications for America. As the Japanese reject their traditions wholesale, they view their half-century-old connection to the United States with mounting skepticism.Drawing on his fluent Japanese and unmatched intimacy with the culture, John Nathan reveals a nation newly unmoored from the traditions that have shored it up and sometimes stifled it. Dramatic changes in business are augured by Carlos Ghosn, the Brazilian president of Nissan, once scorned as an outsider, now hailed for reviving a moribund giant. The soft-spoken artist Yoshinori Kobayashi foments and reflects rabid nationalism among millions with his hugely popular comic books. Yasuo Tanaka, a puckish writer and bon vivant, wins the governorship of Nagano and revolutionizes Japanese politics with his radical populism.Nathan delves beyond Japan's celebrities to map the epic shifts in daily life. He unveils the horrors of the Japanese school system. He goes inside a ""career transition service"" to witness the novel, nuanced rituals of job-hunting Japanese-style. He takes the pulse of ordinary citizens who are caught up in the country's many profound social shifts: agitprop pop culture, emerging feminism, environmentalism, teenage consumerism, entrepreneurship, and more.With immediacy and élan, John Nathan dispels conventional wisdom about Japan and replaces it with a brilliant vision of a country roiling with pride, uncertainty, creativity, fear, and hope."," History , Asia , Japan",Houghton Mifflin Harcourt,"Sunday, February 1, 2004",Price Starting at $5.29
The Encyclopedia of Aromatherapy,"By Wildwood, Christine","Among the profusion of books on aromatherapy available today The Encyclopedia of Aromatherapy is the first to explore the many aspects of this healing art in a single, up-to-date, illustrated volume. The author discusses all things aromatic, from essential oils to garden plants, with recipes for blending essential oils and practical tips for creating perfumes and beauty products. The numerous therapeutic uses of aromatherapy are applied to 10 major systems of the body with specific remedies given for more than 70 ailments. Color photographs illustrate step-by-step a full-body aromatherapy massage, accompanied by specific advice on massaging pregnant women, babies, children, and elderly people. There is also a helpful section concerning sports injuries. Useful for the beginner, this comprehensive reference is an invaluable addition to the library of the serious student and professional practitioner of aromatherapy.The Encyclopedia of Aromatherapy offers the most elegantly comprehensive package on the whole art and science of aromatherapy written to date. It deservedly takes its place among the small handful of indispensable reference books on this fascinating therapy"," Health & Fitness , Aromatherapy",Healing Arts Press,"Thursday, August 1, 1996",Price Starting at $5.29
Klanwatch: Bringing the Ku Klux Klan to Justice,"By Stanton, Bill","A look at Klanwatch--an organization designed to bring the Ku Klux Klan to justice--details some of Klanwatch's most significant trials, providing a portrait of the Klan as an organization founded on hate, ignorance, and bigotry"," Law , General",Grove Pr,"Wednesday, May 1, 1991",Price Starting at $5.43
Cooking & Memories : Favorite Recipes from 20 Mennonite and Amish Cooks,"By Good, Phyllis Pellman",You haven't lived until you've enjoyed good Mennonite and Amish cooking - now you can do it yourself!," Cooking , Reference",Good Books,"Wednesday, May 1, 2013",Price Starting at $5.29
Tumbling After,"By Witcover, Paul","The long-awaited second novel by Paul Witcover, acclaimed author of the remarkable Waking Beauty, is a stunning and provocative masterwork ofingenious imagination -- part-coming-of-age story, part contemporary fairy tale, part technological nightmare, and a brilliant dark vision of dystopia. Twelve-year-old twins Jack and Jilly Doone are closer than most siblings -- uncannily linked, sharing thoughts, sensations, and emotions as if one person -- as they enjoy a mostly parentless August at the Delaware shore. But in the fury of an onrushing hurricane, a frighteningly close brush with death awakens an awesome power in Jack that changes everything ...On an alternate Earth -- transformed centuries earlier by the Viral Wars into a savage battleground where the ""normal"" followers of the emperor Pluribus Unum clash unceasingly with warriors of five mutated elemental races -- a young aerie named Kestrel sets out into the perilous Waste with four companions, trusting their fates to the great and powerful Odds. Taking the next all-important step in every ""mute's"" odyssey to adulthood and duty, Kestrel dreams of glory and sacrifice, and of single-handedly bringing about the total extermination of the hated ""norm"" enemy. But even his ability to soar high above his world will not help him escape the treachery of those he dares not trust, and his psionic powers over the winds cannot blow away the strange and shattering destiny that awaits him at journey's end.A different yet oddly synchronistic fate looms for Jack Doone in this endgame summer of frightening discovery and forbidden experimentation. Suddenly cursed with the uncontrollable power to alter reality -- to ""do over"" events and change the flow of his life and the lives of those around him -- his day-to-day existence has become a twisted version of the ""Mutes and Norms"" role-playing game devised and orchestrated by his uncle Jimmy. And now the twins' survival may come down to a single roll of the cosmic dice, as Jack finds himself devastatingly alone for the first time, his cherished Jilly's protector in a terrifying battle to determine the real, armed with no weapon but memory.A staggeringly original work that blurs the lines between reality and the fantastic, between the accepted and the taboo, between fantasy and science fiction, Paul Witcover's Tumbling After is proof positive that intelligence and invention still reign supreme in the thrilling literature of speculation."," Fiction , Fantasy , General",Eos,"Tuesday, March 1, 2005",Price Starting at $5.93
